t,mox
[s],[g/s]
4.73,3.759143
4.735,3.889332
4.74,4.012484
4.745,4.167305
4.75,4.286938
4.755,4.403053
4.76,4.501575
4.765,4.621209
4.77,4.761954
4.775,4.79714
4.78,4.906218
4.785,5.032889
4.79,5.120855
4.795,5.194746
4.8,5.244007
4.805,5.353083
4.81,5.41994
4.815,5.469197
4.82,5.536054
4.825,5.564205
4.83,5.676797
4.835,5.715506
4.84,5.750688
4.845,5.803469
4.85,5.842173
4.855,5.937176
4.86,5.951252
4.865,6.011068
4.87,6.00755
4.875,6.056813
4.88,6.130705
4.885,6.148298
4.89,6.204596
4.895,6.179962
4.9,6.250336
4.905,6.285523
4.91,6.345339
4.915,6.352375
4.92,6.331263
4.925,6.369968
4.93,6.412195
4.935,6.482564
4.94,6.433307
4.945,6.447382
4.95,6.514234
4.955,6.510716
4.96,6.552938
4.965,6.538863
4.97,6.598683
4.975,6.563496
4.98,6.605719
4.985,6.654981
4.99,6.612754
4.995,6.644423
5,6.658499
5.005,6.728873
5.01,6.676093
5.015,6.67961
5.02,6.760538
5.025,6.735909
5.03,6.732391
5.035,6.735909
5.04,6.781649
5.045,6.764055
5.05,6.760538
5.055,6.834429
5.06,6.799242
5.065,6.792207
5.07,6.8098
5.075,6.830911
5.08,6.816836
5.085,6.792207
5.09,6.837947
5.095,6.834429
5.1,6.873134
5.105,6.852023
5.11,6.823876
5.115,6.876652
5.12,6.897768
5.125,6.911839
5.13,6.866098
5.135,6.890727
5.14,6.936472
5.145,6.876652
5.15,6.904803
5.155,6.901285
5.16,6.922397
5.165,6.925914
5.17,6.894245
5.175,6.954066
5.18,6.908321
5.185,6.925914
5.19,6.93999
5.195,6.943508
5.2,6.968137
5.205,6.93999
5.21,6.957584
5.215,6.975177
5.22,6.93295
5.225,6.989248
5.23,6.961101
5.235,6.964619
5.24,6.947026
5.245,6.99277
5.25,6.99277
5.255,6.943508
5.26,6.968137
5.265,6.975177
5.27,7.010364
5.275,6.989248
5.28,6.954066
5.285,7.006841
5.29,7.003324
5.295,7.003324
5.3,6.971659
5.305,6.961101
5.31,7.010364
5.315,6.99277
5.32,7.003324
5.325,6.989248
5.33,6.996288
5.335,7.024435
5.34,6.996288
5.345,7.013882
5.35,6.98573
5.355,7.049069
5.36,7.020917
5.365,7.003324
5.37,7.027953
5.375,6.996288
5.38,7.010364
5.385,7.003324
5.39,7.031475
5.395,7.038511
5.4,7.013882
5.405,7.013882
5.41,6.971659
5.415,7.049069
5.42,7.049069
5.425,6.98573
5.43,7.017399
5.435,7.013882
5.44,7.059622
5.445,7.010364
5.45,7.010364
5.455,7.052586
5.46,7.017399
5.465,7.034993
5.47,6.996288
5.475,6.996288
5.48,7.052586
5.485,7.059622
5.49,7.066662
5.495,7.017399
5.5,7.031475
5.505,7.045546
5.51,7.045546
5.515,7.031475
5.52,7.010364
5.525,7.059622
5.53,7.049069
5.535,7.038511
5.54,7.027953
5.545,7.013882
5.55,7.031475
5.555,7.038511
5.56,7.080733
5.565,7.052586
5.57,7.042028
5.575,7.052586
5.58,7.024435
5.585,7.077215
5.59,7.042028
5.595,7.013882
5.6,7.087773
5.605,7.027953
5.61,7.042028
5.615,7.042028
5.62,7.049069
5.625,7.031475
5.63,7.034993
5.635,7.056104
5.64,7.024435
5.645,7.034993
5.65,7.080733
5.655,7.045546
5.66,7.07018
5.665,7.042028
5.67,7.042028
5.675,7.052586
5.68,7.042028
5.685,7.066662
5.69,7.017399
5.695,7.052586
5.7,7.06314
5.705,7.038511
5.71,7.056104
5.715,7.031475
5.72,7.087773
5.725,7.052586
5.73,7.052586
5.735,7.034993
5.74,7.042028
5.745,7.066662
5.75,7.034993
5.755,7.034993
5.76,7.07018
5.765,7.056104
5.77,7.07018
5.775,7.042028
5.78,7.056104
5.785,7.077215
5.79,7.042028
5.795,7.066662
5.8,7.042028
5.805,7.056104
5.81,7.045546
5.815,7.059622
5.82,7.06314
5.825,7.034993
5.83,7.045546
5.835,7.07018
5.84,7.027953
5.845,7.059622
5.85,7.052586
5.855,7.091291
5.86,7.059622
5.865,7.024435
5.87,7.07018
5.875,7.059622
5.88,7.066662
5.885,7.038511
5.89,7.020917
5.895,7.059622
5.9,7.080733
5.905,7.066662
5.91,7.031475
5.915,7.052586
5.92,7.091291
5.925,7.042028
5.93,7.049069
5.935,7.045546
5.94,7.066662
5.945,7.07018
5.95,7.042028
5.955,7.052586
5.96,7.073698
5.965,7.042028
5.97,7.038511
5.975,7.059622
5.98,7.101844
5.985,7.059622
5.99,7.031475
5.995,7.073698
6,7.049069
6.005,7.042028
6.01,7.084256
6.015,7.056104
6.02,7.038511
6.025,7.049069
6.03,7.101844
6.035,7.049069
6.04,7.020917
6.045,7.080733
6.05,7.024435
6.055,7.06314
6.06,7.066662
6.065,7.017399
6.07,7.066662
6.075,7.073698
6.08,7.059622
6.085,7.073698
6.09,7.024435
6.095,7.059622
6.1,7.07018
6.105,7.098327
6.11,7.066662
6.115,7.017399
6.12,7.038511
6.125,7.024435
6.13,7.073698
6.135,7.059622
6.14,7.038511
6.145,7.049069
6.15,7.013882
6.155,7.059622
6.16,7.042028
6.165,7.052586
6.17,7.052586
6.175,7.066662
6.18,7.080733
6.185,7.042028
6.19,7.010364
6.195,7.07018
6.2,7.042028
6.205,7.080733
6.21,7.034993
6.215,7.013882
6.22,7.056104
6.225,7.049069
6.23,7.084256
6.235,7.07018
6.24,7.031475
6.245,7.031475
6.25,7.045546
6.255,7.101844
6.26,7.07018
6.265,7.052586
6.27,7.06314
6.275,7.013882
6.28,7.06314
6.285,7.038511
6.29,7.038511
6.295,7.077215
6.3,7.052586
6.305,7.059622
6.31,7.042028
6.315,7.024435
6.32,7.066662
6.325,7.031475
6.33,7.049069
6.335,7.091291
6.34,7.034993
6.345,7.045546
6.35,7.052586
6.355,7.094809
6.36,7.017399
6.365,7.034993
6.37,7.091291
6.375,7.052586
6.38,7.049069
6.385,7.066662
6.39,7.034993
6.395,7.056104
6.4,7.027953
6.405,7.098327
6.41,7.073698
6.415,7.017399
6.42,7.056104
6.425,7.056104
6.43,7.038511
6.435,7.084256
6.44,7.052586
6.445,7.049069
6.45,7.038511
6.455,7.052586
6.46,7.06314
6.465,7.052586
6.47,7.049069
6.475,7.038511
6.48,7.073698
6.485,7.066662
6.49,7.042028
6.495,7.07018
6.5,7.042028
6.505,7.024435
6.51,7.077215
6.515,7.024435
6.52,7.038511
6.525,7.049069
6.53,7.066662
6.535,7.059622
6.54,7.013882
6.545,7.059622
6.55,7.066662
6.555,7.045546
6.56,7.073698
6.565,7.038511
6.57,7.013882
6.575,7.027953
6.58,7.077215
6.585,7.101844
6.59,7.049069
